id,companyId,projectId,wpsno,material,thickness,jdia,thickness2,jdia2,jprocess,jprocess2,jtype,weldStick,weldRod,weldSolder,mixing,isHeat,weldStandard,filename,filepath,projectSubConstractor,remark,delFlag,createName,createDate,updateName,updateDate,opt
,,,WPS-CC7-MK-ОХНВП(16)-РД-024,M01,5.0~10.0,159.0~530.0,5.0~10.0,159.0~530.0,SMAW,SMAW,С17,,E7015-G/E7016/E7018,,,,ОХНВП,,,MK,,,阳东,2024-11-06,阳东,2024-12-12,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП(16)-РД-062,M01,14.0~16.0,1420.0~2641.6,14.0~16.0,1420.0~2641.6,SMAW,SMAW,С54,,E7015-G/E7016/E7018/E7018-1,,,,ОХНВП,,,MK,,,阳东,2024-11-12,阳东,2024-12-12,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП(16)-РД-060,M01,14.0~18.0,1420.0~2641.6,14.0~18.0,1420.0~2641.6,SMAW,SMAW,С54,,E7015-G/E7016/E7018/E7016-1/E7018-1,,Y,,ОХНВП,,,MK,,,阳东,2024-11-14,阳东,2024-12-12,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП(16)-РД-061,M11,14.0~18.0,1420.0~2641.6,14.0~18.0,1420.0~2641.6,SMAW,SMAW,Butt,,E308L-15/E308L-16,,Y,,ОХНВП,,,MK,,,阳东,2024-12-10,阳东,2024-12-12,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП(16)-РД-063,M11,14.0~18.0,1420.0~2641.6,14.0~18.0,1420.0~2641.6,SMAW,SMAW,С54,,E308L-15/E308L-16,,Y,,ОХНВП,,,MK,,,阳东,2024-12-10,阳东,2024-12-12,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП(16)-РД-046,M01,4.0~18.0,159.0~2641.6,4.0~18.0,159.0~2641.6,SMAW,SMAW,Butt,,E7015-G/E7016/E7018/E7018-1,,Y,,ОХНВП,,,MK,,,阳东,2024-12-10,阳东,2024-12-12,Посмотреть вложение 
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WPS-CC7-MK-ОХНВП(16)-РД-047,M11,4.0~18.0,159.0~2641.6,4.0~18.0,159.0~2641.6,SMAW,SMAW,Butt,,E308L-15/E308L-16,,Y,,ОХНВП,,,MK,,,阳东,2024-12-10,阳东,2024-12-12,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП(16)-РД-049,M11,3.0~4.0,25.0~57.0,3.0~4.0,25.0~57.0,SMAW,SMAW,У19,,E308L-15/E308L-16,,Y,,ОХНВП,,,MK,,,阳东,2024-12-10,阳东,2024-12-12,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП(16)-РД-048,M01,3.0~5.0,18.0~57.0,3.0~5.0,18.0~57.0,SMAW,SMAW,У19,,E7015-G/E7016/E7018/E7018-1,,Y,,ОХНВП,,,MK,,,阳东,2024-12-10,阳东,2024-12-12,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП-РАД/РД-064,M01,6.0~10.0,159.0~530.0,6.0~10.0,159.0~530.0,GTAW,SMAW,С17,ER70S-6,E7015-G/E7016/E7018/E7018-1,,Y,,ОХНВП,,,MK,,,阳东,2024-12-10,阳东,2024-12-12,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП-РАД/РД-065,M11,6.0~10.0,159.0~530.0,6.0~10.0,159.0~530.0,GTAW,SMAW,С17,ER308L/ER308SI/ER308LSI,E308L-15/E308L-16/E308LSI,,Y,,ОХНВП,,,MK,,,阳东,2024-12-10,阳东,2024-12-12,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП-РАД-026,M01,4.0~4.0,57.0~57.0,4.0~4.0,57.0~57.0,GTAW,GTAW,С17,ER70S-6,,,,,ОХНВП,,,MK,,,阳东,2024-12-12,阳东,2024-12-12,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП-MАДД-035,M01,14.0~18.0,1420.0~2641.6,14.0~18.0,1420.0~2641.6,GMAW,GMAW,С54,ER70S-6,,,,,ОХНВП,,,MK,,,阳东,2024-12-12,阳东,2024-12-12,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП(16)-РД-039,M11,9.0~10.0,426.0~530.0,9.0~10.0,426.0~530.0,SMAW,SMAW,С54,,E308L-15/E308L-16/E308LSI,,,,ОХНВП,,,MK,,,阳东,2024-12-12,阳东,2024-12-12,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП(16)-РД-038,M01,9.0~10.0,426.0~530.0,9.0~10.0,426.0~530.0,SMAW,SMAW,С54,,E7015-G/E7016/E7018/E7018-1,,,,ОХНВП,,,MK,,,阳东,2024-12-12,阳东,2024-12-12,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП-РАД-041,M11,3.0~4.0,25.0~57.0,3.0~4.0,25.0~57.0,GTAW,GTAW,У19,ER308L/ER308SI/ER308LSI,,,,,ОХНВП,,,MK,,,阳东,2024-12-12,阳东,2024-12-12,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП-РАД-040,M01,3.0~5.0,18.0~57.0,3.0~5.0,18.0~57.0,GTAW,GTAW,У19,ER70S-6,,,,,ОХНВП,,,MK,,,阳东,2024-12-12,阳东,2024-12-12,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП(16)-РАД-066,M01,3.0~10.0,159.0~426.0,3.0~10.0,159.0~426.0,GTAW,GTAW,С17,ER70S-6,,,,,ОХНВП,,,MK,,,阳东,2024-12-18,阳东,2024-12-18,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП(16)-РАД-067,M11,4.0~10.0,159.0~426.0,4.0~10.0,159.0~426.0,GTAW,GTAW,С17,ER308L/ER308SI/ER308LSI,,,Y,,ОХНВП,,,MK,,,阳东,2024-12-18,阳东,2025-01-30,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП(16)-РАД-069,M11,5.0~7.0,57.0~108.0,5.0~7.0,57.0~108.0,GTAW,GTAW,С17,ER308/ER308L/ER308LSI,,,Y,,ОХНВП,,,MK,,,阳东,2024-12-27,阳东,2024-12-27,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП(16)-РАД-068,M01,5.0~7.0,57.0~108.0,5.0~7.0,57.0~108.0,GTAW,GTAW,С17,ER70S-6,,,Y,,ОХНВП,,,MK,,,阳东,2024-12-27,阳东,2024-12-27,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП(16)-МАДП-035,M01,14.0~18.0,1420.0~2641.6,14.0~18.0,1420.0~2641.6,GMAW,GMAW,С54,Св-08Г2С,,,,,ОХНВП,,,MK,,,何力,2025-03-18,何力,2025-03-18,Посмотреть вложение 
,,,WPS-CC7-MK-ОХНВП(16)-РАД-068,M01,5.0~7.0,57.0~108.0,5.0~7.0,57.0~108.0,GTAW,GTAW,С17,ER70S-6,,,,,ОХНВП,,,,,,何力,2025-04-04,何力,2025-04-04,Посмотреть вложение 
